,solver,instance,vertices,edges,propagating_vertices,omega,variables,constraints,run,lower_bound,upper_bound,gap,result,nodes,t_solver,callbacks,t_callback,lazy_constraints
0,fpss-outp,../inputs/case30.graphml,30,41,7,2,100,49,2,8.0,8,0.0,Optimal,1,3130,5,74,2
1,fpss-outp-fps3,../inputs/case_GB2224.graphml,2224,2804,1367,6,7188,4257,3,329.0,329,0.0,Optimal,1802,2984379,35,76848,178
2,fpss-outp-fps2,../inputs/case2736sp.graphml,2736,3265,645,4,5722,3600,4,689.0,689,0.0,Optimal,2995,4129327,22,25427,58
3,fpss-outp-fps1-fps3,../inputs/case89pegase.graphml,89,206,43,9,386,182,0,13.0,13,0.0,Optimal,1,12807,5,184,0
4,fpss-outp,../inputs/case24_ieee_rts.graphml,24,34,4,4,47,30,1,6.0,6,0.0,Optimal,1,1362,4,34,0
5,fpss-outp-fps1-fps3,../inputs/case6ww.graphml,6,11,1,1,31,13,0,3.0,3,0.0,Optimal,1,3018,1,10,0
6,fpss-outp,../inputs/case2868rte.graphml,2868,3471,983,0,13053,6719,4,1924.0,1924,0.0,Optimal,2696,1553209,37,90254,279
7,fpss-outp,../inputs/case1354pegase.graphml,1354,1710,422,1,5393,2608,1,703.0,703,0.0,Optimal,1,119368,14,8411,52
8,fpss-outp-fps1-fps2-fps3,../inputs/case_south_carolina500.graphml,500,584,211,7,1425,1118,3,78.0,78,0.0,Optimal,1,25544,4,830,0
9,fpss-outp-fps1-fps3,../inputs/case1354pegase.graphml,1354,1710,422,8,2749,2095,2,311.0,311,0.0,Optimal,1,50343,5,1922,0
10,fpss-outp,../inputs/case5.graphml,5,6,0,2,11,7,4,2.0,2,0.0,Optimal,1,370,1,1,0
11,fpss-outp-fps1-fps2-fps3,../inputs/case2868rte.graphml,2868,3471,983,15,6127,5266,3,598.0,598,0.0,Optimal,1,259820,10,22895,4
12,fpss-outp-fps2,../inputs/case_iceland118.graphml,189,203,110,6,501,310,1,39.0,39,0.0,Optimal,1,6086,4,236,0
13,fpss-outp-fps2-fps3,../inputs/case_GB2224.graphml,2224,2804,1367,7,6852,4367,2,326.0,326,0.0,Optimal,1703,3915386,25,39430,211
14,fpss-outp-fps1-fps3,../inputs/case6495rte.graphml,6495,8084,2344,12,14008,11447,4,1314.0,1314,0.0,Optimal,2531,6285089,17,113594,28
15,fpss-outp-fps3,../inputs/case_iceland118.graphml,189,203,110,2,697,368,1,52.0,52,0.0,Optimal,1,19137,7,526,6
16,fpss-outp-fps3,../inputs/case89pegase.graphml,89,206,43,4,493,166,3,15.0,15,0.0,Optimal,1,18152,7,328,3
17,fpss-outp-fps2,../inputs/case3120sp.graphml,3120,3684,798,8,5445,3947,1,768.0,768,0.0,Optimal,281,575566,14,13211,59
18,fpss-outp-fps2,../inputs/case6470rte.graphml,6470,8066,2352,8,14978,9482,4,1306.0,1306,0.0,Optimal,3046,6654552,20,151033,99
19,fpss-outp-fps1-fps2,../inputs/case3012wp.graphml,3012,3566,726,9,5102,4175,0,755.0,755,0.0,Optimal,1,150619,8,8649,3
20,fpss-outp-fps3,../inputs/case118.graphml,118,179,11,1,509,240,1,56.0,56,0.0,Optimal,1,9592,5,231,2
21,fpss-outp,../inputs/case89pegase.graphml,89,206,43,14,239,134,1,13.0,13,0.0,Optimal,1,4506,5,166,1
22,fpss-outp-fps1-fps2,../inputs/case9.graphml,9,9,4,3,19,14,3,2.0,2,0.0,Optimal,1,600,3,16,0
23,fpss-outp-fps1-fps2-fps3,../inputs/case_ieee30.graphml,30,41,7,0,137,75,4,23.0,23,0.0,Optimal,1,1000,2,27,0
