,solver,instance,vertices,edges,propagating_vertices,omega,variables,constraints,run,lower_bound,upper_bound,gap,result,nodes,t_solver,callbacks,t_callback,lazy_constraints
0,cycles,../inputs/case_Western.graphml,10024,12241,4106,4,48202,20048,4,2009.0,2025,0.007901234567901235,Timeout,54609,901025982,182,4061140,21114
1,forts,../inputs/case2736sp.graphml,2736,3265,645,2,9266,2736,2,1183.0,-1,100.0,Timeout,309040,900315461,596,3201523,14856
2,forts,../inputs/case96rts.graphml,73,108,9,6,289,73,0,19.0,19,0.0,Optimal,1,8380,15,1978,122
3,jovanovic,../inputs/case13659pegase.graphml,13659,18625,4024,1,77073,166797,4,10121.0,10122,9.879470460383324e-05,Optimal,10603,329633333,0,0,0
4,brimkov,../inputs/case6470rte.graphml,6470,8066,2352,7,36453,45711,0,1325.0,1325,0.0,Optimal,1709,41262132,0,0,0
5,fpss,../inputs/case6470rte.graphml,6470,8066,2352,12,29983,12940,3,1303.0,1303,0.0,Optimal,1667,4742300,40,240505,5129
6,forts,../inputs/case33bw.graphml,33,32,1,4,97,33,2,11.0,11,0.0,Optimal,1,1664,11,764,74
7,cycles,../inputs/case145.graphml,145,422,71,1,1295,290,1,91.0,91,0.0,Optimal,91435,7332755,113,29333,1522
8,jovanovic,../inputs/case6468rte.graphml,6468,8065,2384,8,36499,81061,0,1300.0,1300,0.0,Optimal,1711,100099628,0,0,0
9,fpss,../inputs/case_Texas.graphml,2000,2667,376,6,9023,4000,1,462.0,462,0.0,Optimal,5355,15397874,106,138746,2912
10,brimkov,../inputs/case6468rte.graphml,6468,8065,2384,14,36499,45765,1,1291.0,1291,0.0,Optimal,1142,4091775,0,0,0
11,fpss,../inputs/case96rts.graphml,73,108,9,6,318,146,0,19.0,19,0.0,Optimal,1,6864,11,455,13
12,forts,../inputs/case2869pegase.graphml,2869,3968,869,12,10805,2869,3,612.0,612,0.0,Optimal,4145,1719635,27,436093,5036
13,jovanovic,../inputs/case2868rte.graphml,2868,3471,983,14,15921,36380,2,598.0,598,0.0,Optimal,647,8865302,0,0,0
14,jovanovic,../inputs/case2383wp.graphml,2383,2886,552,10,12244,23194,3,594.0,594,0.0,Optimal,1,1826106,0,0,0
15,jovanovic,../inputs/case9241pegase.graphml,9241,14207,2902,36,54546,98650,2,2010.0,2010,0.0,Optimal,1732,69977416,0,0,0
16,cycles,../inputs/case13659pegase.graphml,13659,18625,4024,25,63414,27318,3,2721.0,2721,0.0,Optimal,2006,11263672,17,287708,3499
17,jovanovic,../inputs/case145.graphml,145,422,71,1,1440,4117,3,91.0,91,0.0,Optimal,1808,900341,0,0,0
18,cycles,../inputs/case_GB2224.graphml,2224,2804,1367,15,11890,4448,2,322.0,322,0.0,Optimal,1662,4082344,33,69237,4099
19,forts,../inputs/case3120sp.graphml,3120,3684,798,2,10488,3120,2,1334.0,-1,100.0,Timeout,254673,900263228,615,3941839,17092
20,jovanovic,../inputs/case118.graphml,118,179,11,9,634,1019,4,29.0,29,0.0,Optimal,1,14074,0,0,0
21,forts,../inputs/case9241pegase.graphml,9241,14207,2902,20,37655,9241,4,2010.0,2010,0.0,Optimal,1554,8939378,30,4096603,16338
22,cycles,../inputs/case2869pegase.graphml,2869,3968,869,7,13333,5738,0,620.0,620,0.0,Optimal,1793,2407806,33,65449,1672
23,fpss,../inputs/case3012wp.graphml,3012,3566,726,10,12224,6024,3,755.0,755,0.0,Optimal,2404,2634130,31,54462,931
24,jovanovic,../inputs/case9241pegase.graphml,9241,14207,2902,7,54546,98650,4,2019.0,2019,0.0,Optimal,1752,103739946,0,0,0
25,forts,../inputs/case_GB2224.graphml,2224,2804,1367,7,7832,2224,1,329.0,329,0.0,Optimal,281851,68756283,88,486914,4014
26,brimkov,../inputs/case145.graphml,145,422,71,19,1440,2704,3,18.0,18,0.0,Optimal,1,87962,0,0,0
27,brimkov,../inputs/case89pegase.graphml,89,206,43,1,710,682,4,47.0,47,0.0,Optimal,1,31358,0,0,0
28,fpss,../inputs/case_Western.graphml,10024,12241,4106,1,48202,20048,2,5974.0,5974,0.0,Optimal,7333,56334251,96,1724414,40104
29,cycles,../inputs/case_Texas.graphml,2000,2667,376,2,9023,4000,2,939.0,939,0.0,Optimal,6406,12382179,85,123624,3999
30,brimkov,../inputs/case9241pegase.graphml,9241,14207,2902,22,54546,45832,1,2010.0,2010,0.0,Optimal,1,9525054,0,0,0
31,cycles,../inputs/case30.graphml,30,41,7,6,133,60,0,6.0,6,0.0,Optimal,1,3526,7,151,6
32,forts,../inputs/case3120sp.graphml,3120,3684,798,10,10488,3120,3,768.0,768,0.0,Optimal,1815,1750382,58,536990,5652
33,brimkov,../inputs/case_Western.graphml,10024,12241,4106,4,58226,75508,1,2012.0,2022,0.004945598163167876,Timeout,7544,900890065,0,0,0
34,fpss,../inputs/case11_iwamoto.graphml,11,11,6,3,48,22,1,2.0,2,0.0,Optimal,1,1351,9,144,24
35,forts,../inputs/case1951rte.graphml,1951,2375,651,14,6701,1951,3,393.0,393,0.0,Optimal,143,279025,16,191884,3155
36,forts,../inputs/case_iceland118.graphml,189,203,110,1,595,189,0,91.0,96,0.052083333333333336,Timeout,223968,900204973,7921,4115271,25738
37,forts,../inputs/case1888rte.graphml,1888,2308,681,2,6504,1888,3,843.0,-1,100.0,Timeout,414921,900356521,810,3098942,12318
38,fpss,../inputs/case14.graphml,14,20,2,3,59,28,1,4.0,4,0.0,Optimal,1,8922,4,187,2
39,forts,../inputs/case2869pegase.graphml,2869,3968,869,8,10805,2869,1,616.0,616,0.0,Optimal,1620,1389251,35,488710,5642
40,forts,../inputs/case6495rte.graphml,6495,8084,2344,12,22663,6495,0,1314.0,1314,0.0,Optimal,1748,3585364,23,1946065,10917
41,jovanovic,../inputs/case2746wop.graphml,2746,3300,709,4,14133,26324,2,698.0,698,0.0,Optimal,1887,16826169,0,0,0
42,forts,../inputs/case11_iwamoto.graphml,11,11,6,3,33,11,4,2.0,2,0.0,Optimal,1,1083,8,299,22
43,forts,../inputs/case2868rte.graphml,2868,3471,983,16,9810,2868,2,598.0,598,0.0,Optimal,319,586922,19,417837,4876
44,fpss,../inputs/case2737sop.graphml,2737,3266,655,6,11185,5474,2,685.0,685,0.0,Optimal,1875,2763371,49,75785,1722
45,jovanovic,../inputs/case6495rte.graphml,6495,8084,2344,8,36564,81356,3,1322.0,1322,0.0,Optimal,1790,125548263,0,0,0
46,fpss,../inputs/case2746wp.graphml,2746,3274,704,1,11305,5492,0,2046.0,2046,0.0,Optimal,2903,1652554,31,64442,4997
47,jovanovic,../inputs/case2737sop.graphml,2737,3266,655,9,13922,25903,4,683.0,683,0.0,Optimal,1,1841621,0,0,0
48,fpss,../inputs/case13659pegase.graphml,13659,18625,4024,12,63414,27318,4,2794.0,2794,0.0,Optimal,2038,24624698,121,1309403,8929
49,brimkov,../inputs/case2746wop.graphml,2746,3300,709,5,14133,12721,1,683.0,683,0.0,Optimal,2343,8309394,0,0,0
50,cycles,../inputs/case9.graphml,9,9,4,4,37,18,2,2.0,2,0.0,Optimal,1,1537,8,110,8
51,fpss,../inputs/case1888rte.graphml,1888,2308,681,3,8651,3776,2,570.0,570,0.0,Optimal,2746,6190236,61,93684,2728
52,fpss,../inputs/case2848rte.graphml,2848,3442,1023,12,12983,5696,2,585.0,585,0.0,Optimal,2212,1904109,17,44638,2504
53,fpss,../inputs/case6468rte.graphml,6468,8065,2384,3,30031,12936,0,1886.0,1887,0.0005299417064122947,Timeout,177410,900463313,101,753033,9916
54,jovanovic,../inputs/case1951rte.graphml,1951,2375,651,7,10803,24060,4,406.0,406,0.0,Optimal,56,3369307,0,0,0
55,jovanovic,../inputs/case_GB2224.graphml,2224,2804,1367,6,14114,35097,4,338.0,338,0.0,Optimal,4920,92722456,0,0,0
56,cycles,../inputs/case_GBreduced29.graphml,29,50,0,6,129,58,2,7.0,7,0.0,Optimal,1,1065,3,29,0
57,brimkov,../inputs/case3012wp.graphml,3012,3566,726,3,15236,13432,0,863.0,863,0.0,Optimal,4315,48836891,0,0,0
58,cycles,../inputs/case9.graphml,9,9,4,4,37,18,4,2.0,2,0.0,Optimal,1,688,4,69,10
59,jovanovic,../inputs/case2848rte.graphml,2848,3442,1023,13,15831,35938,0,585.0,585,0.0,Optimal,34,6809202,0,0,0
60,forts,../inputs/case1888rte.graphml,1888,2308,681,13,6504,1888,0,375.0,375,0.0,Optimal,319,288999,22,179298,3137
61,cycles,../inputs/case6515rte.graphml,6515,8104,2344,8,30149,13030,0,1324.0,1324,0.0,Optimal,1642,5913015,57,441875,5785
62,fpss,../inputs/case2848rte.graphml,2848,3442,1023,8,12983,5696,1,587.0,587,0.0,Optimal,1896,2427820,37,79797,2777
